Analyzing: results/0318_moffett_finetune_5x_baseline.sam  (label: 5x_baseline)
Analyzing: results/0318_moffett_finetune_viterbi.sam  (label: viterbi)
==================================================
metric                   5x_baseline       viterbi
--------------------------------------------------
total reads                    8,118         8,111
mapped reads                   7,733         7,734
total bases (w/Q)         47,374,651    47,398,530
Q min                              1             1
Q max                             90            50
Q mean                         27.34         26.65
Q median                        30.0          29.0
Q 25/75 %ile            25.0 / 32.0  24.0 / 31.0
% bases at Q<=1                0.03%         0.06%
% bases at Q>=50               0.02%         0.00%
global reported Q              27.53         26.86
global empirical Q             20.92         20.54
global error rate             0.809%        0.884%
==================================================

 Q_rep | 5x_baseline N_tot 5x_baseline Nerr     Perr   Qemp    dlt | viterbi N_tot viterbi Nerr     Perr   Qemp    dlt
----------------------------------------------------------------------------------------------------------------------
     1 |        9,781    2,021   0.2066   6.85  +5.85 |        8,644    1,828   0.2115   6.75  +5.75
     2 |       20,413    3,887   0.1904   7.20  +5.20 |       21,126    3,712   0.1757   7.55  +5.55
     3 |       40,695    7,103   0.1745   7.58  +4.58 |       44,629    6,593   0.1477   8.31  +5.31
     4 |       70,933   10,821   0.1526   8.17  +4.17 |       79,578    9,869   0.1240   9.07  +5.07
     5 |      116,327   14,687   0.1263   8.99  +3.99 |      133,082   12,168   0.0914  10.39  +5.39
     6 |      201,901   19,618   0.0972  10.12  +4.12 |      235,816   14,667   0.0622  12.06  +6.06
     7 |      282,930   24,650   0.0871  10.60  +3.60 |      323,264   15,873   0.0491  13.09  +6.09
     8 |      298,198   24,018   0.0805  10.94  +2.94 |      335,409   15,024   0.0448  13.49  +5.49
     9 |      302,617   20,782   0.0687  11.63  +2.63 |      334,362   13,433   0.0402  13.96  +4.96
    10 |      304,510   17,766   0.0583  12.34  +2.34 |      337,134   12,213   0.0362  14.41  +4.41
    11 |      315,880   14,916   0.0472  13.26  +2.26 |      346,139   11,470   0.0331  14.80  +3.80
    12 |      330,566   13,115   0.0397  14.01  +2.01 |      360,460   11,029   0.0306  15.14  +3.14
    13 |      348,426   11,596   0.0333  14.78  +1.78 |      381,437   10,719   0.0281  15.51  +2.51
    14 |      372,269   10,356   0.0278  15.56  +1.56 |      408,091   10,483   0.0257  15.90  +1.90
    15 |      400,652    9,918   0.0248  16.06  +1.06 |      445,119   10,691   0.0240  16.19  +1.19
    16 |      434,897    9,172   0.0211  16.76  +0.76 |      483,870   10,801   0.0223  16.51  +0.51
    17 |      478,761    8,698   0.0182  17.41  +0.41 |      535,886   11,276   0.0210  16.77  -0.23
    18 |      529,877    8,512   0.0161  17.94  -0.06 |      602,999   11,433   0.0190  17.22  -0.78
    19 |      594,947    8,454   0.0142  18.47  -0.53 |      682,175   12,203   0.0179  17.47  -1.53
    20 |      677,001    8,375   0.0124  19.08  -0.92 |      781,477   12,860   0.0165  17.84  -2.16
    21 |      783,789    8,465   0.0108  19.67  -1.33 |      906,637   13,424   0.0148  18.30  -2.70
    22 |      922,584    8,676   0.0094  20.27  -1.73 |    1,062,862   13,945   0.0131  18.82  -3.18
    23 |    1,090,924    9,073   0.0083  20.80  -2.20 |    1,254,536   14,488   0.0115  19.37  -3.63
    24 |    1,298,727    9,198   0.0071  21.50  -2.50 |    1,483,029   14,873   0.0100  19.99  -4.01
    25 |    1,544,355    9,235   0.0060  22.23  -2.77 |    1,766,730   15,436   0.0087  20.59  -4.41
    26 |    1,842,137    9,535   0.0052  22.86  -3.14 |    2,137,845   15,783   0.0074  21.32  -4.68
    27 |    2,252,883    9,598   0.0043  23.71  -3.29 |    2,662,775   15,941   0.0060  22.23  -4.77
    28 |    2,902,882    9,920   0.0034  24.66  -3.34 |    3,408,116   16,310   0.0048  23.20  -4.80
    29 |    3,904,502   10,301   0.0026  25.79  -3.21 |    4,319,442   15,621   0.0036  24.42  -4.58
    30 |    5,058,956   10,243   0.0020  26.94  -3.06 |    5,044,191   15,099   0.0030  25.24  -4.76
    31 |    5,653,351    9,520   0.0017  27.74  -3.26 |    5,054,587   12,741   0.0025  25.98  -5.02
    32 |    5,041,978    7,524   0.0015  28.26  -3.74 |    4,165,456    9,578   0.0023  26.38  -5.62
    33 |    3,556,343    5,000   0.0014  28.52  -4.48 |    2,806,577    6,269   0.0022  26.51  -6.49
    34 |    2,057,456    3,056   0.0015  28.28  -5.72 |    1,585,445    3,764   0.0024  26.25  -7.75
    35 |    1,038,922    1,799   0.0017  27.62  -7.38 |      788,822    2,291   0.0029  25.37  -9.63
    36 |      489,582    1,118   0.0023  26.41  -9.59 |      366,397    1,273   0.0035  24.59 -11.41
    37 |      227,415      617   0.0027  25.67 -11.33 |      170,818      728   0.0043  23.70 -13.30
    38 |      109,375      371   0.0034  24.70 -13.30 |       83,933      461   0.0055  22.60 -15.40
    39 |       58,258      229   0.0039  24.06 -14.94 |       43,829      259   0.0059  22.28 -16.72
    40 |       32,716      171   0.0052  22.82 -17.18 |       23,862      151   0.0063  21.99 -18.01
    41 |       19,091       90   0.0047  23.27 -17.73 |       13,167       87   0.0066  21.80 -19.20
    42 |       11,517       69   0.0060  22.22 -19.78 |        7,302       52   0.0071  21.47 -20.53
    43 |        7,020       31   0.0044  23.55 -19.45 |        3,847       32   0.0083  20.80 -22.20
    44 |        4,542       38   0.0084  20.77 -23.23 |        2,107       15   0.0071  21.48 -22.52
    45 |        3,042       21   0.0069  21.61 -23.39 |        1,061        8   0.0075  21.23 -23.77
    46 |        2,085       15   0.0072  21.43 -24.57 |          514        4   0.0078  21.09 -24.91
    47 |        1,453        9   0.0062  22.08 -24.92 |          252        2   0.0079  21.00 -26.00
    48 |        1,055        9   0.0085  20.69 -27.31 |          123        2   0.0163  17.89 -30.11
    49 |          757        5   0.0066  21.80 -27.20 |           55        1   0.0182  17.40 -31.60
    50 |          567        4   0.0071  21.52 -28.48 |           51        2   0.0392  14.07 -35.93

Saved overlay plot -> results/0318_viterbi_vs_5x_baseline.png
