Analyzing: results/0318_moffett_finetune_baseline.sam  (label: 5x_baseline)
Analyzing: results/0521_moffett_finetune_viterbi_bf16.sam  (label: viterbi)
==================================================
metric                   5x_baseline       viterbi
--------------------------------------------------
total reads                    8,109         8,111
mapped reads                   7,733         7,734
total bases (w/Q)         47,353,303    47,398,530
Q min                              1             1
Q max                             90            60
Q mean                         26.66         26.74
Q median                        29.0          21.0
Q 25/75 %ile            24.0 / 31.0  19.0 / 25.0
% bases at Q<=1                0.03%         0.06%
% bases at Q>=50               0.03%        17.18%
global reported Q              26.85         19.99
global empirical Q             20.64         20.21
global error rate             0.862%        0.954%
==================================================

 Q_rep | 5x_baseline N_tot 5x_baseline Nerr     Perr   Qemp    dlt | viterbi N_tot viterbi Nerr     Perr   Qemp    dlt
----------------------------------------------------------------------------------------------------------------------
     1 |       10,084    2,325   0.2306   6.37  +5.37 |        8,612    1,818   0.2111   6.76  +5.76
     2 |       22,839    4,501   0.1971   7.05  +5.05 |       21,178    3,712   0.1753   7.56  +5.56
     3 |       45,287    7,665   0.1693   7.71  +4.71 |       44,662    6,622   0.1483   8.29  +5.29
     4 |       79,227   11,956   0.1509   8.21  +4.21 |       79,726    9,893   0.1241   9.06  +5.06
     5 |      132,142   16,380   0.1240   9.07  +4.07 |      133,974   12,196   0.0910  10.41  +5.41
     6 |      225,889   21,514   0.0952  10.21  +4.21 |      237,564   14,712   0.0619  12.08  +6.08
     7 |      313,403   26,505   0.0846  10.73  +3.73 |      321,355   15,806   0.0492  13.08  +6.08
     8 |      333,778   26,176   0.0784  11.06  +3.06 |      336,450   14,899   0.0443  13.54  +5.54
     9 |      337,340   22,776   0.0675  11.71  +2.71 |      334,011   13,539   0.0405  13.92  +4.92
    10 |      342,649   19,177   0.0560  12.52  +2.52 |      339,975   12,171   0.0358  14.46  +4.46
    11 |      352,412   16,501   0.0468  13.30  +2.30 |      352,462   11,678   0.0331  14.80  +3.80
    12 |      367,649   14,230   0.0387  14.12  +2.12 |      381,121   11,489   0.0301  15.21  +3.21
    13 |      389,436   12,380   0.0318  14.98  +1.98 |      401,657   10,984   0.0273  15.63  +2.63
    14 |      415,710   11,128   0.0268  15.72  +1.72 |      450,780   11,382   0.0252  15.98  +1.98
    15 |      451,426   10,396   0.0230  16.38  +1.38 |      549,808   12,533   0.0228  16.42  +1.42
    16 |      492,888    9,841   0.0200  17.00  +1.00 |    1,162,944   16,489   0.0142  18.48  +2.48
    17 |      544,916    9,640   0.0177  17.52  +0.52 |    2,315,658   20,770   0.0090  20.47  +3.47
    18 |      611,736    9,326   0.0152  18.17  +0.17 |    3,388,625   23,918   0.0071  21.51  +3.51
    19 |      692,267    9,353   0.0135  18.69  -0.31 |    4,962,674   28,726   0.0058  22.37  +3.37
    20 |      790,182    9,357   0.0118  19.27  -0.73 |    5,422,143   27,336   0.0050  22.97  +2.97
    21 |      913,948    9,417   0.0103  19.87  -1.13 |    4,076,865   21,035   0.0052  22.87  +1.87
    22 |    1,068,599    9,568   0.0090  20.48  -1.52 |    3,366,015   15,830   0.0047  23.28  +1.28
    23 |    1,260,105    9,986   0.0079  21.01  -1.99 |    2,940,831   12,822   0.0044  23.61  +0.61
    24 |    1,486,695   10,151   0.0068  21.66  -2.34 |    1,942,709    9,103   0.0047  23.29  -0.71
    25 |    1,766,766   10,067   0.0057  22.44  -2.56 |    1,626,877    7,250   0.0045  23.51  -1.49
    26 |    2,129,518   10,153   0.0048  23.22  -2.78 |      778,436    4,212   0.0054  22.67  -3.33
    27 |    2,631,576   10,202   0.0039  24.12  -2.88 |      603,154    3,150   0.0052  22.82  -4.18
    28 |    3,366,389   10,287   0.0031  25.15  -2.85 |      363,757    2,032   0.0056  22.53  -5.47
    29 |    4,278,865   10,177   0.0024  26.24  -2.76 |      289,740    1,588   0.0055  22.61  -6.39
    30 |    5,028,874    9,846   0.0020  27.08  -2.92 |      190,077    1,174   0.0062  22.09  -7.91
    31 |    5,056,426    8,319   0.0016  27.84  -3.16 |      146,458      903   0.0062  22.10  -8.90
    32 |    4,161,115    6,174   0.0015  28.29  -3.71 |      113,844      735   0.0065  21.90 -10.10
    33 |    2,790,288    4,229   0.0015  28.19  -4.81 |       55,705      450   0.0081  20.93 -12.07
    34 |    1,575,750    2,590   0.0016  27.84  -6.16 |       64,196      369   0.0057  22.40 -11.60
    35 |      787,876    1,628   0.0021  26.85  -8.15 |       53,252      324   0.0061  22.16 -12.84
    36 |      376,146    1,060   0.0028  25.50 -10.50 |       27,631      205   0.0074  21.30 -14.70
    37 |      179,559      653   0.0036  24.39 -12.61 |       31,276      186   0.0059  22.26 -14.74
    38 |       89,571      388   0.0043  23.63 -14.37 |       35,316      175   0.0050  23.05 -14.95
    39 |       50,182      293   0.0058  22.34 -16.66 |       30,395      152   0.0050  23.01 -15.99
    40 |       29,776      250   0.0084  20.76 -19.24 |       26,029      120   0.0046  23.36 -16.64
    41 |       17,771      140   0.0079  21.04 -19.96 |       12,691       91   0.0072  21.44 -19.56
    42 |       10,949       95   0.0087  20.62 -21.38 |        7,955       66   0.0083  20.81 -21.19
    43 |        6,788       73   0.0108  19.68 -23.32 |        4,789       55   0.0115  19.40 -23.60
    44 |        4,478       36   0.0080  20.95 -23.05 |        3,380       28   0.0083  20.82 -23.18
    45 |        2,947       24   0.0081  20.89 -24.11 |        2,480       26   0.0105  19.79 -25.21
    46 |        2,014       12   0.0060  22.25 -23.75 |        1,815       25   0.0138  18.61 -27.39
    47 |        1,428        6   0.0042  23.77 -23.23 |        1,334       17   0.0127  18.95 -28.05
    48 |        1,047       10   0.0096  20.20 -27.80 |        1,050       10   0.0095  20.21 -27.79
    49 |          730        8   0.0110  19.60 -29.40 |          772        4   0.0052  22.86 -26.14
    50 |          569        7   0.0123  19.10 -30.90 |          593       11   0.0185  17.32 -32.68

Saved overlay plot -> results/0318_viterbi_vs_5x_baseline_v2.png
