Analyzing: results/0318_moffett_finetune_baseline.sam  (label: baseline)
Analyzing: results/0318_moffett_finetune_viterbi.sam  (label: viterbi)
==================================================
metric                      baseline       viterbi
--------------------------------------------------
total reads                    8,109         8,111
mapped reads                   7,733         7,734
total bases (w/Q)         47,353,303    47,398,530
Q min                              1             1
Q max                             90            50
Q mean                         26.66         26.65
Q median                        29.0          29.0
Q 25/75 %ile            24.0 / 31.0  24.0 / 31.0
% bases at Q<=1                0.03%         0.06%
% bases at Q>=50               0.03%         0.00%
global reported Q              26.85         26.86
global empirical Q             20.64         20.54
global error rate             0.862%        0.884%
==================================================

 Q_rep | baseline N_tot baseline Nerr     Perr   Qemp    dlt | viterbi N_tot viterbi Nerr     Perr   Qemp    dlt
----------------------------------------------------------------------------------------------------------------
     1 |       10,084    2,325   0.2306   6.37  +5.37 |        8,644    1,828   0.2115   6.75  +5.75
     2 |       22,839    4,501   0.1971   7.05  +5.05 |       21,126    3,712   0.1757   7.55  +5.55
     3 |       45,287    7,665   0.1693   7.71  +4.71 |       44,629    6,593   0.1477   8.31  +5.31
     4 |       79,227   11,956   0.1509   8.21  +4.21 |       79,578    9,869   0.1240   9.07  +5.07
     5 |      132,142   16,380   0.1240   9.07  +4.07 |      133,082   12,168   0.0914  10.39  +5.39
     6 |      225,889   21,514   0.0952  10.21  +4.21 |      235,816   14,667   0.0622  12.06  +6.06
     7 |      313,403   26,505   0.0846  10.73  +3.73 |      323,264   15,873   0.0491  13.09  +6.09
     8 |      333,778   26,176   0.0784  11.06  +3.06 |      335,409   15,024   0.0448  13.49  +5.49
     9 |      337,340   22,776   0.0675  11.71  +2.71 |      334,362   13,433   0.0402  13.96  +4.96
    10 |      342,649   19,177   0.0560  12.52  +2.52 |      337,134   12,213   0.0362  14.41  +4.41
    11 |      352,412   16,501   0.0468  13.30  +2.30 |      346,139   11,470   0.0331  14.80  +3.80
    12 |      367,649   14,230   0.0387  14.12  +2.12 |      360,460   11,029   0.0306  15.14  +3.14
    13 |      389,436   12,380   0.0318  14.98  +1.98 |      381,437   10,719   0.0281  15.51  +2.51
    14 |      415,710   11,128   0.0268  15.72  +1.72 |      408,091   10,483   0.0257  15.90  +1.90
    15 |      451,426   10,396   0.0230  16.38  +1.38 |      445,119   10,691   0.0240  16.19  +1.19
    16 |      492,888    9,841   0.0200  17.00  +1.00 |      483,870   10,801   0.0223  16.51  +0.51
    17 |      544,916    9,640   0.0177  17.52  +0.52 |      535,886   11,276   0.0210  16.77  -0.23
    18 |      611,736    9,326   0.0152  18.17  +0.17 |      602,999   11,433   0.0190  17.22  -0.78
    19 |      692,267    9,353   0.0135  18.69  -0.31 |      682,175   12,203   0.0179  17.47  -1.53
    20 |      790,182    9,357   0.0118  19.27  -0.73 |      781,477   12,860   0.0165  17.84  -2.16
    21 |      913,948    9,417   0.0103  19.87  -1.13 |      906,637   13,424   0.0148  18.30  -2.70
    22 |    1,068,599    9,568   0.0090  20.48  -1.52 |    1,062,862   13,945   0.0131  18.82  -3.18
    23 |    1,260,105    9,986   0.0079  21.01  -1.99 |    1,254,536   14,488   0.0115  19.37  -3.63
    24 |    1,486,695   10,151   0.0068  21.66  -2.34 |    1,483,029   14,873   0.0100  19.99  -4.01
    25 |    1,766,766   10,067   0.0057  22.44  -2.56 |    1,766,730   15,436   0.0087  20.59  -4.41
    26 |    2,129,518   10,153   0.0048  23.22  -2.78 |    2,137,845   15,783   0.0074  21.32  -4.68
    27 |    2,631,576   10,202   0.0039  24.12  -2.88 |    2,662,775   15,941   0.0060  22.23  -4.77
    28 |    3,366,389   10,287   0.0031  25.15  -2.85 |    3,408,116   16,310   0.0048  23.20  -4.80
    29 |    4,278,865   10,177   0.0024  26.24  -2.76 |    4,319,442   15,621   0.0036  24.42  -4.58
    30 |    5,028,874    9,846   0.0020  27.08  -2.92 |    5,044,191   15,099   0.0030  25.24  -4.76
    31 |    5,056,426    8,319   0.0016  27.84  -3.16 |    5,054,587   12,741   0.0025  25.98  -5.02
    32 |    4,161,115    6,174   0.0015  28.29  -3.71 |    4,165,456    9,578   0.0023  26.38  -5.62
    33 |    2,790,288    4,229   0.0015  28.19  -4.81 |    2,806,577    6,269   0.0022  26.51  -6.49
    34 |    1,575,750    2,590   0.0016  27.84  -6.16 |    1,585,445    3,764   0.0024  26.25  -7.75
    35 |      787,876    1,628   0.0021  26.85  -8.15 |      788,822    2,291   0.0029  25.37  -9.63
    36 |      376,146    1,060   0.0028  25.50 -10.50 |      366,397    1,273   0.0035  24.59 -11.41
    37 |      179,559      653   0.0036  24.39 -12.61 |      170,818      728   0.0043  23.70 -13.30
    38 |       89,571      388   0.0043  23.63 -14.37 |       83,933      461   0.0055  22.60 -15.40
    39 |       50,182      293   0.0058  22.34 -16.66 |       43,829      259   0.0059  22.28 -16.72
    40 |       29,776      250   0.0084  20.76 -19.24 |       23,862      151   0.0063  21.99 -18.01
    41 |       17,771      140   0.0079  21.04 -19.96 |       13,167       87   0.0066  21.80 -19.20
    42 |       10,949       95   0.0087  20.62 -21.38 |        7,302       52   0.0071  21.47 -20.53
    43 |        6,788       73   0.0108  19.68 -23.32 |        3,847       32   0.0083  20.80 -22.20
    44 |        4,478       36   0.0080  20.95 -23.05 |        2,107       15   0.0071  21.48 -22.52
    45 |        2,947       24   0.0081  20.89 -24.11 |        1,061        8   0.0075  21.23 -23.77
    46 |        2,014       12   0.0060  22.25 -23.75 |          514        4   0.0078  21.09 -24.91
    47 |        1,428        6   0.0042  23.77 -23.23 |          252        2   0.0079  21.00 -26.00
    48 |        1,047       10   0.0096  20.20 -27.80 |          123        2   0.0163  17.89 -30.11
    49 |          730        8   0.0110  19.60 -29.40 |           55        1   0.0182  17.40 -31.60
    50 |          569        7   0.0123  19.10 -30.90 |           51        2   0.0392  14.07 -35.93

Saved overlay plot -> results/0318_viterbi_vs_baseline.png
